bench,preset,mode,fib_n,threads,warmup,reps,tasks,split_threshold,exit_code,bench_best_s,bench_avg_s,time_elapsed_s,time_elapsed_raw,time_user_s,time_sys_s,time_cpu_pct,time_max_rss_kb,time_voluntary_cs,time_involuntary_cs,time_minor_pf,time_major_pf,perf_available,perf_task_clock,perf_context_switches,perf_cpu_migrations,perf_page_faults,perf_cycles,perf_instructions,perf_branches,perf_branch_misses,perf_cache_references,perf_cache_misses,bench_log,time_log,perf_log
fib_bench,fb_light,classic,52,8,1,3,8,46,0,6.0486e-05,9.02347e-05,,Elapsed (wall clock) time (h:mm:ss or m:ss): 0:00.03,User time (seconds): 0.00,System time (seconds): 0.02,80%,Maximum resident set size (kbytes): 12544,55,0,Minor (reclaiming a frame) page faults: 1549,Major (requiring I/O) page faults: 0,1,5.76,43,10,158,10105814,7665423,1420815,47823,156878,19470,/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260302_234628/bench_fib_bench_classic_fb_light.log,/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260302_234628/time_fib_bench_classic_fb_light.log,/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260302_234628/perf_fib_bench_classic_fb_light.log
fib_bench,fb_mid,classic,60,8,1,3,8,54,0,4.8957e-05,5.77333e-05,,Elapsed (wall clock) time (h:mm:ss or m:ss): 0:00.02,User time (seconds): 0.01,System time (seconds): 0.01,109%,Maximum resident set size (kbytes): 12416,58,1,Minor (reclaiming a frame) page faults: 1559,Major (requiring I/O) page faults: 0,1,5.15,46,9,165,8452580,7688285,1171692,48511,145694,19113,/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260302_234628/bench_fib_bench_classic_fb_mid.log,/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260302_234628/time_fib_bench_classic_fb_mid.log,/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260302_234628/perf_fib_bench_classic_fb_mid.log
fib_bench,fb_heavy,classic,65,8,1,3,16,60,0,4.5868e-05,6.5074e-05,,Elapsed (wall clock) time (h:mm:ss or m:ss): 0:00.02,User time (seconds): 0.00,System time (seconds): 0.01,109%,Maximum resident set size (kbytes): 12672,57,2,Minor (reclaiming a frame) page faults: 1550,Major (requiring I/O) page faults: 0,1,4.44,47,15,159,9200904,8448065,1116384,48399,148832,19659,/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260302_234628/bench_fib_bench_classic_fb_heavy.log,/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260302_234628/time_fib_bench_classic_fb_heavy.log,/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260302_234628/perf_fib_bench_classic_fb_heavy.log
fib_single_bench,fs_light,classic,54,8,1,3,0,48,0,0.000108588,0.000169362,,Elapsed (wall clock) time (h:mm:ss or m:ss): 0:00.02,User time (seconds): 0.01,System time (seconds): 0.01,108%,Maximum resident set size (kbytes): 12416,123,2,Minor (reclaiming a frame) page faults: 1554,Major (requiring I/O) page faults: 0,1,5.66,112,12,164,12549851,7828552,1157723,54051,155522,16392,/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260302_234628/bench_fib_single_bench_classic_fs_light.log,/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260302_234628/time_fib_single_bench_classic_fs_light.log,/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260302_234628/perf_fib_single_bench_classic_fs_light.log
fib_single_bench,fs_mid,classic,60,8,1,3,0,54,0,0.000127147,0.000266383,,Elapsed (wall clock) time (h:mm:ss or m:ss): 0:00.02,User time (seconds): 0.01,System time (seconds): 0.01,113%,Maximum resident set size (kbytes): 12544,148,1,Minor (reclaiming a frame) page faults: 1569,Major (requiring I/O) page faults: 0,1,6.07,138,11,173,9130158,10112865,1213536,55985,176663,18613,/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260302_234628/bench_fib_single_bench_classic_fs_mid.log,/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260302_234628/time_fib_single_bench_classic_fs_mid.log,/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260302_234628/perf_fib_single_bench_classic_fs_mid.log
fib_single_bench,fs_heavy,classic,65,8,1,3,0,60,0,0.000248803,0.000373088,,Elapsed (wall clock) time (h:mm:ss or m:ss): 0:00.02,User time (seconds): 0.00,System time (seconds): 0.01,108%,Maximum resident set size (kbytes): 12416,122,0,Minor (reclaiming a frame) page faults: 1557,Major (requiring I/O) page faults: 0,1,6.53,111,11,164,9762783,10646272,1085804,51306,172683,18489,/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260302_234628/bench_fib_single_bench_classic_fs_heavy.log,/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260302_234628/time_fib_single_bench_classic_fs_heavy.log,/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260302_234628/perf_fib_single_bench_classic_fs_heavy.log
fib_fast_bench,ff_light,classic,90,8,1,3,8,0,0,4.7536e-05,5.82113e-05,,Elapsed (wall clock) time (h:mm:ss or m:ss): 0:00.02,User time (seconds): 0.00,System time (seconds): 0.01,114%,Maximum resident set size (kbytes): 12416,57,3,Minor (reclaiming a frame) page faults: 1559,Major (requiring I/O) page faults: 0,1,5.13,41,10,162,9216563,8290613,1225487,46478,150499,19150,/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260302_234628/bench_fib_fast_bench_classic_ff_light.log,/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260302_234628/time_fib_fast_bench_classic_ff_light.log,/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260302_234628/perf_fib_fast_bench_classic_ff_light.log
fib_fast_bench,ff_mid,classic,93,8,1,3,8,0,0,5.8016e-05,5.88163e-05,,Elapsed (wall clock) time (h:mm:ss or m:ss): 0:00.02,User time (seconds): 0.00,System time (seconds): 0.01,100%,Maximum resident set size (kbytes): 12544,54,0,Minor (reclaiming a frame) page faults: 1552,Major (requiring I/O) page faults: 0,1,3.94,42,7,159,9694914,7376725,924191,44684,144170,18554,/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260302_234628/bench_fib_fast_bench_classic_ff_mid.log,/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260302_234628/time_fib_fast_bench_classic_ff_mid.log,/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260302_234628/perf_fib_fast_bench_classic_ff_mid.log
fib_fast_bench,ff_heavy,classic,93,8,1,3,32,0,0,5.4067e-05,0.000141362,,Elapsed (wall clock) time (h:mm:ss or m:ss): 0:00.02,User time (seconds): 0.01,System time (seconds): 0.01,108%,Maximum resident set size (kbytes): 12416,82,1,Minor (reclaiming a frame) page faults: 1549,Major (requiring I/O) page faults: 0,1,7.04,72,26,160,11522986,9997924,1352737,52008,161320,18503,/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260302_234628/bench_fib_fast_bench_classic_ff_heavy.log,/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260302_234628/time_fib_fast_bench_classic_ff_heavy.log,/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260302_234628/perf_fib_fast_bench_classic_ff_heavy.log
fib_bench,fb_light,coro,52,8,1,3,8,46,0,6.0375e-05,6.57783e-05,,Elapsed (wall clock) time (h:mm:ss or m:ss): 0:00.02,User time (seconds): 0.00,System time (seconds): 0.02,104%,Maximum resident set size (kbytes): 12416,52,1,Minor (reclaiming a frame) page faults: 1555,Major (requiring I/O) page faults: 0,1,5.37,40,5,162,8444922,7029671,1116162,46033,143060,19111,/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260302_234628/bench_fib_bench_coro_fb_light.log,/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260302_234628/time_fib_bench_coro_fb_light.log,/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260302_234628/perf_fib_bench_coro_fb_light.log
fib_bench,fb_mid,coro,60,8,1,3,8,54,0,4.7217e-05,6.98507e-05,,Elapsed (wall clock) time (h:mm:ss or m:ss): 0:00.04,User time (seconds): 0.00,System time (seconds): 0.01,65%,Maximum resident set size (kbytes): 12416,62,0,Minor (reclaiming a frame) page faults: 1545,Major (requiring I/O) page faults: 0,1,5.03,50,7,159,12494588,6374654,1074952,47741,146531,14888,/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260302_234628/bench_fib_bench_coro_fb_mid.log,/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260302_234628/time_fib_bench_coro_fb_mid.log,/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260302_234628/perf_fib_bench_coro_fb_mid.log
fib_bench,fb_heavy,coro,65,8,1,3,16,60,0,4.5836e-05,4.68903e-05,,Elapsed (wall clock) time (h:mm:ss or m:ss): 0:00.02,User time (seconds): 0.01,System time (seconds): 0.01,108%,Maximum resident set size (kbytes): 12416,47,3,Minor (reclaiming a frame) page faults: 1556,Major (requiring I/O) page faults: 0,1,5.13,36,10,165,12554525,8108468,1286866,49092,145083,16870,/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260302_234628/bench_fib_bench_coro_fb_heavy.log,/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260302_234628/time_fib_bench_coro_fb_heavy.log,/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260302_234628/perf_fib_bench_coro_fb_heavy.log
fib_single_bench,fs_light,coro,54,8,1,3,0,48,0,0.000107599,0.000195233,,Elapsed (wall clock) time (h:mm:ss or m:ss): 0:00.02,User time (seconds): 0.00,System time (seconds): 0.01,108%,Maximum resident set size (kbytes): 12416,134,0,Minor (reclaiming a frame) page faults: 1560,Major (requiring I/O) page faults: 0,1,6.32,123,22,168,10695418,6829779,1155469,56247,169057,17933,/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260302_234628/bench_fib_single_bench_coro_fs_light.log,/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260302_234628/time_fib_single_bench_coro_fs_light.log,/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260302_234628/perf_fib_single_bench_coro_fs_light.log
fib_single_bench,fs_mid,coro,60,8,1,3,0,54,0,0.000132356,0.000171573,,Elapsed (wall clock) time (h:mm:ss or m:ss): 0:00.02,User time (seconds): 0.00,System time (seconds): 0.01,113%,Maximum resident set size (kbytes): 12416,117,0,Minor (reclaiming a frame) page faults: 1560,Major (requiring I/O) page faults: 0,1,5.73,106,17,170,14177488,7225131,1173632,54084,161556,15915,/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260302_234628/bench_fib_single_bench_coro_fs_mid.log,/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260302_234628/time_fib_single_bench_coro_fs_mid.log,/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260302_234628/perf_fib_single_bench_coro_fs_mid.log
fib_single_bench,fs_heavy,coro,65,8,1,3,0,60,0,0.000125471,0.000153936,,Elapsed (wall clock) time (h:mm:ss or m:ss): 0:00.02,User time (seconds): 0.00,System time (seconds): 0.01,109%,Maximum resident set size (kbytes): 12288,113,3,Minor (reclaiming a frame) page faults: 1551,Major (requiring I/O) page faults: 0,1,5.19,102,13,164,12178885,7902096,1090562,51927,153609,17694,/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260302_234628/bench_fib_single_bench_coro_fs_heavy.log,/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260302_234628/time_fib_single_bench_coro_fs_heavy.log,/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260302_234628/perf_fib_single_bench_coro_fs_heavy.log
fib_fast_bench,ff_light,coro,90,8,1,3,8,0,0,3.4097e-05,4.18307e-05,,Elapsed (wall clock) time (h:mm:ss or m:ss): 0:00.02,User time (seconds): 0.00,System time (seconds): 0.02,104%,Maximum resident set size (kbytes): 12288,56,1,Minor (reclaiming a frame) page faults: 1540,Major (requiring I/O) page faults: 0,1,4.61,43,3,159,9399310,8474364,1089771,45082,149140,18843,/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260302_234628/bench_fib_fast_bench_coro_ff_light.log,/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260302_234628/time_fib_fast_bench_coro_ff_light.log,/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260302_234628/perf_fib_fast_bench_coro_ff_light.log
fib_fast_bench,ff_mid,coro,93,8,1,3,8,0,0,4.8569e-05,8.1685e-05,,Elapsed (wall clock) time (h:mm:ss or m:ss): 0:00.01,User time (seconds): 0.00,System time (seconds): 0.01,105%,Maximum resident set size (kbytes): 12416,55,2,Minor (reclaiming a frame) page faults: 1551,Major (requiring I/O) page faults: 0,1,5.52,44,6,164,8036888,6247868,1172070,47952,148994,20023,/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260302_234628/bench_fib_fast_bench_coro_ff_mid.log,/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260302_234628/time_fib_fast_bench_coro_ff_mid.log,/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260302_234628/perf_fib_fast_bench_coro_ff_mid.log
fib_fast_bench,ff_heavy,coro,93,8,1,3,32,0,0,0.000182675,0.000312622,,Elapsed (wall clock) time (h:mm:ss or m:ss): 0:00.02,User time (seconds): 0.01,System time (seconds): 0.01,116%,Maximum resident set size (kbytes): 12416,136,2,Minor (reclaiming a frame) page faults: 1557,Major (requiring I/O) page faults: 0,1,8.15,126,19,167,12162123,8197862,1546790,60226,186534,17339,/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260302_234628/bench_fib_fast_bench_coro_ff_heavy.log,/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260302_234628/time_fib_fast_bench_coro_ff_heavy.log,/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260302_234628/perf_fib_fast_bench_coro_ff_heavy.log
